Jade Index,,,JSON index,
2,Demographics,,0,Intro1
3,Health,,1,Demographics
4,Social Phobia,,2,Intro2
5,Separation Anxiety,,3,Health
6,Agoraphobia,,4,Social Phobia
7,Panic Attacks,,5,Separation Anxiety
8,General Anxiety,,6,Agoraphobia
9,Specific Phobia,,7,Panic Attacks
10,OCD,,8,General Anxiety
11,PTSD,,9,Specific Phobia
12,Eating Disorder,,10,OCD
13,Depression,,11,PTSD
14,Mania,,12,Eating Disorder
15,ADHD,,13,Depression
16,ODD,,14,Mania
17,Conduct Disorder,,15,ADHD
18,Alcohol,,16,ODD
19,Marijuana,,17,Conduct Disorder
20,Other Substances,,18,Alcohol
21,Impairment,,19,Marijuana
,,,20,Other Substances
,,,21,Intro3
,,,22,Impairment
,,,23,Conclusion
